EMAIL_1,EMAIL_2,FRIENDED_DATE
bmurry@email.com,wwallen@email.com,07/04/2018 21:32:14
sbyrne@email.com,irenfro@email.com,06/20/2018 07:44:32
wdenton@email.com,ystanton@email.com,06/01/2018 20:10:37
ileighton@email.com,htenney@email.com,06/19/2018 20:27:27
cguevara@email.com,mlongo@email.com,03/01/2018 18:17:49
iorosco@email.com,rnavarro@email.com,06/08/2018 04:49:13
ibunting@email.com,imaguire@email.com,06/24/2018 13:31:21
zheard@email.com,kdelagarza@email.com,10/01/2018 08:23:21
tpaulson@email.com,fheadrick@email.com,10/24/2018 21:07:37
kbrower@email.com,jheffner@email.com,10/10/2018 06:34:16
hvitale@email.com,radams@email.com,07/06/2018 03:50:29
xfarley@email.com,xraney@email.com,11/17/2018 19:31:44
zrobson@email.com,kjefferson@email.com,03/03/2018 02:37:35
ncrisp@email.com,irowley@email.com,09/13/2018 22:44:27
harredondo@email.com,zrobson@email.com,06/22/2018 00:05:18
tledesma@email.com,wrossi@email.com,07/21/2018 14:52:54
hcable@email.com,nmims@email.com,07/08/2018 10:57:09
hpurdy@email.com,pbriones@email.com,03/01/2018 10:56:40
ybroadway@email.com,bholloway@email.com,02/16/2018 18:35:32
iback@email.com,cbollinger@email.com,06/05/2018 21:08:24
dsaucedo@email.com,xwendt@email.com,05/27/2018 08:19:26
hdotson@email.com,ywong@email.com,01/11/2018 08:29:40
harredondo@email.com,pmatney@email.com,11/21/2018 07:10:06
xfusco@email.com,dstill@email.com,02/10/2018 00:24:51
gschultz@email.com,hdelagarza@email.com,07/22/2018 04:32:53
amerrill@email.com,zmccann@email.com,07/03/2018 15:18:10
aweldon@email.com,hstauffer@email.com,09/11/2018 17:21:17
fhuntley@email.com,barmenta@email.com,04/02/2018 08:21:07
nmontanez@email.com,jshell@email.com,12/07/2018 22:43:23
alatimer@email.com,latwell@email.com,08/22/2018 09:55:52
hcoble@email.com,umosby@email.com,12/18/2018 13:03:55
sloper@email.com,xconnell@email.com,02/28/2018 19:57:49
maldridge@email.com,fbecerra@email.com,08/22/2018 14:01:39
hpalmer@email.com,hyee@email.com,01/15/2018 07:29:38
sjustice@email.com,ischwab@email.com,10/19/2018 12:22:13
jlocke@email.com,zbartels@email.com,02/24/2018 17:56:19
ebrowder@email.com,vrodriquez@email.com,10/14/2018 03:44:27
mpatterson@email.com,lmattos@email.com,11/02/2018 03:14:44
tleigh@email.com,lireland@email.com,06/12/2018 12:56:33
pjames@email.com,gfaust@email.com,10/15/2018 15:17:14
econners@email.com,nlawton@email.com,06/17/2018 03:39:26
cguevara@email.com,oskaggs@email.com,02/07/2018 15:27:58
vedmond@email.com,ehilliard@email.com,12/24/2018 05:43:33
nbarnette@email.com,tbooth@email.com,01/08/2018 19:35:51
rwhyte@email.com,mhuang@email.com,10/26/2018 20:09:27
sedwards@email.com,kallard@email.com,08/12/2018 14:55:22
wtanaka@email.com,swetzel@email.com,07/20/2018 22:52:58
hjensen@email.com,pconley@email.com,06/13/2018 02:28:15
jtomlin@email.com,mmcreynolds@email.com,02/10/2018 05:43:04
zcrews@email.com,snunn@email.com,10/07/2018 19:20:32
smckinley@email.com,nshanks@email.com,10/03/2018 09:27:17
zscholl@email.com,jsisk@email.com,12/06/2018 07:40:45
fbowles@email.com,xarmstrong@email.com,01/10/2018 00:11:40
rmedeiros@email.com,rgroce@email.com,08/14/2018 10:41:11
wlange@email.com,ischell@email.com,05/17/2018 03:04:53
fworley@email.com,olincoln@email.com,03/09/2018 22:09:47
akinard@email.com,mtom@email.com,02/18/2018 19:18:52
lireland@email.com,rtamayo@email.com,04/25/2018 16:49:22
nnewman@email.com,pmcclure@email.com,10/15/2018 00:48:09
rdye@email.com,fhildreth@email.com,02/20/2018 05:40:23
qvang@email.com,fadams@email.com,01/09/2018 20:56:39
pmuncy@email.com,xraney@email.com,01/17/2018 12:27:59
whudson@email.com,ywong@email.com,05/17/2018 07:55:35
vbraden@email.com,pmetzger@email.com,09/02/2018 04:20:54
hpalumbo@email.com,hvigil@email.com,11/06/2018 16:10:07
yoconner@email.com,xkimbrell@email.com,07/10/2018 00:32:40
kbrittain@email.com,gsimpkins@email.com,12/03/2018 14:52:35
ccall@email.com,yhoffman@email.com,03/13/2018 00:33:30
ilai@email.com,upinkston@email.com,06/05/2018 01:59:26
tgilson@email.com,skitchen@email.com,03/13/2018 07:09:31
jclinton@email.com,pnoel@email.com,08/17/2018 09:05:57
whendrick@email.com,zlevesque@email.com,12/16/2018 19:23:05
uputman@email.com,aquinn@email.com,06/19/2018 06:28:59
kbehrens@email.com,uwinfrey@email.com,06/27/2018 03:16:01
hstauffer@email.com,ichappell@email.com,05/17/2018 05:00:08
sbyrne@email.com,rwitherspoon@email.com,03/26/2018 02:59:12
vcoker@email.com,aquinn@email.com,08/08/2018 02:48:05
barmenta@email.com,hmichaud@email.com,04/04/2018 10:25:02
hashcraft@email.com,mhuang@email.com,01/15/2018 23:23:30
oconti@email.com,uburt@email.com,05/27/2018 13:59:22
qcorrea@email.com,lpeterson@email.com,09/21/2018 16:09:47
wmayo@email.com,kgrubb@email.com,10/20/2018 09:53:14
mwatt@email.com,xferrari@email.com,02/25/2018 22:56:04
hmcmillen@email.com,mhare@email.com,05/24/2018 08:31:11
pfurman@email.com,eenos@email.com,07/12/2018 01:11:04
wpayton@email.com,lhoppe@email.com,06/24/2018 07:35:23
qrowell@email.com,lneeley@email.com,01/24/2018 09:41:22
ljung@email.com,lpurdy@email.com,08/09/2018 12:58:57
iblake@email.com,yhalsey@email.com,09/01/2018 02:16:57
hfisher@email.com,vcohn@email.com,11/28/2018 23:28:54
bflanders@email.com,sshay@email.com,08/17/2018 17:47:44
tloftis@email.com,rkeener@email.com,11/04/2018 01:05:56
zbordelon@email.com,tpeyton@email.com,12/08/2018 08:05:21
adevries@email.com,lhoppe@email.com,08/27/2018 13:39:01
econners@email.com,rwinters@email.com,12/08/2018 17:39:11
ohacker@email.com,sfrancois@email.com,04/05/2018 02:59:27
spartin@email.com,sleroy@email.com,11/23/2018 15:46:06
cnunez@email.com,vott@email.com,02/21/2018 23:10:23
jlocke@email.com,rweddle@email.com,03/10/2018 23:49:58
eepstein@email.com,ylloyd@email.com,01/01/2018 23:09:23
btyler@email.com,pwelker@email.com,04/22/2018 23:14:41
ywolfe@email.com,gwithers@email.com,08/21/2018 09:59:48
rharden@email.com,isanborn@email.com,06/06/2018 13:06:35
umerrill@email.com,zfrantz@email.com,09/28/2018 09:49:14
ihinkle@email.com,bcornelius@email.com,07/25/2018 05:23:24
isingletary@email.com,fingram@email.com,08/09/2018 01:04:42
nhooker@email.com,nmontanez@email.com,10/24/2018 10:01:53
tspaulding@email.com,inugent@email.com,11/12/2018 11:26:42
uadamson@email.com,owells@email.com,10/19/2018 13:51:59
ulongo@email.com,lbaptiste@email.com,10/18/2018 06:04:57
iweatherly@email.com,uburt@email.com,12/27/2018 16:44:32
xestrella@email.com,mmcreynolds@email.com,08/27/2018 23:08:46
ljung@email.com,nelliot@email.com,07/14/2018 14:17:50
inugent@email.com,wkimmel@email.com,08/22/2018 00:18:55
pdollar@email.com,ashipman@email.com,03/23/2018 04:26:16
scarrasco@email.com,tfaust@email.com,03/28/2018 00:40:57
qnavarro@email.com,vgaylord@email.com,07/12/2018 01:24:02
volsen@email.com,lritter@email.com,10/15/2018 06:24:30
wmullis@email.com,boliva@email.com,06/15/2018 11:24:54
xcorbett@email.com,fadame@email.com,06/04/2018 00:24:19
emontez@email.com,tfalcon@email.com,06/27/2018 14:57:52
fmeek@email.com,ypoole@email.com,07/27/2018 09:43:38
zbrackett@email.com,pbeattie@email.com,12/05/2018 20:12:14
ispinks@email.com,bechevarria@email.com,01/03/2018 23:22:51
pervin@email.com,usharpe@email.com,11/10/2018 06:08:07
wlange@email.com,nrichardson@email.com,04/07/2018 15:21:58
bcornelius@email.com,ohacker@email.com,07/28/2018 19:55:02
bslattery@email.com,pnewell@email.com,11/18/2018 15:42:32
smorehead@email.com,qgreco@email.com,04/12/2018 15:45:16
rdye@email.com,xconnell@email.com,11/09/2018 20:57:36
irenfro@email.com,xmaxey@email.com,12/14/2018 04:22:40
xpak@email.com,ygamble@email.com,11/23/2018 16:22:14
