EMAIL_1,EMAIL_2,FRIENDED_DATE
kglass@email.com,wkinsey@email.com,10/09/2018 19:31:13
epack@email.com,cfredrickson@email.com,08/03/2018 18:29:39
obottoms@email.com,pmatheny@email.com,04/18/2018 12:45:32
qduff@email.com,qbateman@email.com,05/17/2018 08:19:50
vstallings@email.com,kfrance@email.com,05/13/2018 01:48:44
kmcfarlane@email.com,dgreene@email.com,11/05/2018 21:50:43
yhackney@email.com,ddamico@email.com,03/17/2018 08:17:22
ncopeland@email.com,owestfall@email.com,09/15/2018 09:15:22
ylovell@email.com,crivera@email.com,12/11/2018 07:13:10
cperalta@email.com,mdarden@email.com,10/11/2018 04:38:56
ddamico@email.com,iclem@email.com,07/19/2018 10:00:32
schappell@email.com,anichols@email.com,06/15/2018 01:51:03
dgolden@email.com,mlinkous@email.com,04/03/2018 17:23:18
psander@email.com,yelliot@email.com,09/09/2018 18:16:01
ogonzalez@email.com,eholguin@email.com,03/07/2018 23:07:26
xrudd@email.com,psander@email.com,12/10/2018 17:46:06
chamblin@email.com,nsalerno@email.com,08/26/2018 16:56:12
kfrance@email.com,pramey@email.com,01/17/2018 19:19:59
rwall@email.com,sma@email.com,09/13/2018 14:44:17
sdang@email.com,iholloman@email.com,03/07/2018 17:24:47
pholmes@email.com,pamos@email.com,02/28/2018 21:47:06
bfitzsimmons@email.com,scouncil@email.com,03/05/2018 15:53:20
pramey@email.com,xgass@email.com,07/18/2018 14:19:09
rlutz@email.com,ylovell@email.com,12/04/2018 20:13:36
gmckinnon@email.com,jbarksdale@email.com,11/21/2018 09:42:37
xfay@email.com,ayoo@email.com,05/17/2018 12:16:44
slind@email.com,epack@email.com,11/24/2018 19:53:12
kdove@email.com,slindberg@email.com,06/16/2018 03:33:09
hbuckner@email.com,aleighton@email.com,12/13/2018 07:24:06
mlinkous@email.com,dcochran@email.com,09/23/2018 09:39:16
sclemons@email.com,bfitzsimmons@email.com,04/09/2018 00:32:04
glatimer@email.com,fgibson@email.com,09/09/2018 11:18:16
qbateman@email.com,aaiken@email.com,02/14/2018 05:03:43
ilandry@email.com,pholmes@email.com,02/18/2018 03:31:50
dgreene@email.com,rwall@email.com,04/25/2018 08:29:21
adalton@email.com,edell@email.com,01/19/2018 06:33:49
nsalerno@email.com,mmoriarty@email.com,06/04/2018 08:57:16
rguillen@email.com,ilandry@email.com,02/21/2018 20:45:54
xgass@email.com,yhackney@email.com,01/19/2018 18:25:43
fmckay@email.com,cperalta@email.com,10/06/2018 15:51:00
pdoyle@email.com,ililly@email.com,05/21/2018 07:33:47
iclem@email.com,bwalston@email.com,10/12/2018 04:51:56
rmarr@email.com,osaucier@email.com,02/01/2018 23:51:21
bbirch@email.com,xturnbull@email.com,05/19/2018 20:04:36
wroper@email.com,wtalbott@email.com,05/11/2018 01:07:14
bwalston@email.com,glatimer@email.com,09/28/2018 01:45:45
lbittner@email.com,obottoms@email.com,03/04/2018 21:23:18
uapodaca@email.com,mburgess@email.com,01/07/2018 21:04:23
ayoo@email.com,cmohr@email.com,10/08/2018 21:11:57
bpeeples@email.com,vbaron@email.com,01/06/2018 09:03:31
jstoner@email.com,hbuckner@email.com,09/19/2018 19:52:13
sma@email.com,chamblin@email.com,10/06/2018 21:59:54
ulilley@email.com,eosgood@email.com,11/25/2018 20:53:30
parmijo@email.com,peagle@email.com,06/05/2018 17:43:51
mmoriarty@email.com,fmckay@email.com,11/28/2018 20:10:43
cjeffries@email.com,pdoyle@email.com,09/21/2018 03:41:35
jbarksdale@email.com,ocovington@email.com,09/27/2018 03:11:35
ldowns@email.com,xhagan@email.com,01/07/2018 00:24:58
nwinchester@email.com,cjeffries@email.com,04/07/2018 07:39:33
slindberg@email.com,hsnipes@email.com,07/18/2018 08:55:36
uwoodruff@email.com,bpeeples@email.com,07/24/2018 22:22:26
mjanssen@email.com,slind@email.com,02/27/2018 05:19:50
pamos@email.com,cshuman@email.com,11/21/2018 21:39:33
vbaron@email.com,sclemons@email.com,11/25/2018 00:51:15
osaucier@email.com,ehamblin@email.com,03/22/2018 01:22:05
fgibson@email.com,kmcfarlane@email.com,02/23/2018 16:44:46
owestfall@email.com,sdang@email.com,04/28/2018 21:49:49
emadsen@email.com,adalton@email.com,03/18/2018 15:39:23
cfredrickson@email.com,qpippin@email.com,02/23/2018 07:22:22
ililly@email.com,fhopper@email.com,05/18/2018 05:11:12
peagle@email.com,ogonzalez@email.com,03/16/2018 01:46:03
eosgood@email.com,dmilam@email.com,10/13/2018 03:02:43
anichols@email.com,kmercier@email.com,12/02/2018 12:49:01
yhardison@email.com,fhutto@email.com,04/05/2018 14:43:15
kmercier@email.com,zturney@email.com,06/03/2018 14:30:40
qtijerina@email.com,bsanderson@email.com,06/21/2018 16:24:03
hsnipes@email.com,rlutz@email.com,02/09/2018 19:18:04
jashley@email.com,fsloan@email.com,11/03/2018 02:16:08
dminter@email.com,parmijo@email.com,11/10/2018 19:41:37
wtalbott@email.com,lfraser@email.com,01/09/2018 12:03:06
wkinsey@email.com,ehoskins@email.com,12/26/2018 17:20:58
qcho@email.com,osiegel@email.com,08/09/2018 17:06:59
inabors@email.com,mjanssen@email.com,03/04/2018 19:10:57
cshuman@email.com,lbittner@email.com,04/06/2018 16:12:01
aaiken@email.com,qelston@email.com,08/22/2018 05:15:52
fhopper@email.com,uwoodruff@email.com,12/16/2018 19:02:21
mburgess@email.com,ulilley@email.com,10/22/2018 20:48:15
dcochran@email.com,mcisneros@email.com,07/22/2018 09:18:00
ilaplante@email.com,pgossett@email.com,05/10/2018 07:28:04
ocovington@email.com,jstoner@email.com,08/26/2018 07:23:55
ggonzales@email.com,xrudd@email.com,05/12/2018 05:25:21
tconover@email.com,xfay@email.com,04/27/2018 11:18:50
xturnbull@email.com,rguillen@email.com,05/20/2018 11:31:33
osiegel@email.com,gmount@email.com,05/24/2018 09:27:13
qwhyte@email.com,qduff@email.com,09/12/2018 03:53:07
bsanderson@email.com,itucker@email.com,09/22/2018 22:38:51
pconklin@email.com,ldowns@email.com,05/15/2018 00:50:52
lfraser@email.com,kdove@email.com,07/19/2018 10:02:33
qelston@email.com,ilaplante@email.com,10/17/2018 13:35:48
iholloman@email.com,edudley@email.com,08/20/2018 13:19:35
tpease@email.com,qtijerina@email.com,07/03/2018 00:04:24
rchase@email.com,schappell@email.com,04/09/2018 05:59:02
crivera@email.com,rchase@email.com,03/22/2018 04:38:19
dmilam@email.com,ncopeland@email.com,05/15/2018 06:40:23
fhutto@email.com,bbirch@email.com,09/18/2018 13:30:03
aleighton@email.com,pconklin@email.com,03/02/2018 00:48:50
ehoskins@email.com,qwhyte@email.com,12/06/2018 02:00:36
xmccarter@email.com,jwilkinson@email.com,08/08/2018 18:20:24
eholguin@email.com,rmarr@email.com,01/21/2018 11:32:39
edudley@email.com,gmckinnon@email.com,09/26/2018 11:51:29
cmohr@email.com,ggonzales@email.com,08/27/2018 12:42:43
zbower@email.com,tpease@email.com,05/17/2018 07:48:27
edell@email.com,wroper@email.com,10/06/2018 05:52:41
pgossett@email.com,qcho@email.com,07/26/2018 13:32:08
mcisneros@email.com,htreadwell@email.com,04/05/2018 20:06:37
pmatheny@email.com,jashley@email.com,07/03/2018 18:33:01
qpippin@email.com,xmccarter@email.com,04/18/2018 10:57:17
zturney@email.com,tconover@email.com,06/02/2018 00:53:15
fsloan@email.com,dminter@email.com,12/27/2018 16:18:26
gmount@email.com,vstallings@email.com,09/17/2018 06:43:55
mdarden@email.com,uapodaca@email.com,01/06/2018 18:17:41
htreadwell@email.com,zbower@email.com,06/03/2018 01:54:31
ehamblin@email.com,kglass@email.com,07/28/2018 10:18:31
xhagan@email.com,emadsen@email.com,06/13/2018 17:56:42
jwilkinson@email.com,yhardison@email.com,09/13/2018 01:35:18
itucker@email.com,nwinchester@email.com,07/13/2018 05:08:46
yelliot@email.com,dgolden@email.com,09/12/2018 00:45:04
