EMAIL_1,EMAIL_2,FRIENDED_DATE
jason@email.com,jessica@email.com,08/01/2018 06:09:33
jason@email.com,shawnique@email.com,06/15/2018 13:40:39
jason@email.com,jamie@email.com,12/13/2018 00:34:18
jessica@email.com,shawnique@email.com,07/18/2018 00:44:00
jamie@email.com,david@email.com,07/22/2018 12:16:37
jessica@email.com,david@email.com,05/14/2018 06:57:14
shawnique@email.com,dustin@email.com,03/15/2018 00:25:28
shawnique@email.com,akond@email.com,04/17/2018 13:14:29
dustin@email.com,maria@email.com,04/16/2018 09:21:07
dustin@email.com,akond@email.com,04/11/2018 11:18:17
akond@email.com,maria@email.com,01/18/2018 17:38:19
